id_restroom,STORE_NAME,STORE_LOCATION,city,Latitude,Longitude,Place_type
1669,Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",,42.3684,-83.3527,restroom
1670,Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",,40.6782,-73.9442,restroom
1671,Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,,38.9741,-94.4527,restroom
1672,Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",,40.5933,-73.9454,restroom
1673,Bleecker Playground,Hudson & West 11 streets,,40.7358,-74.006,restroom
1674,Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",,45.5484,-75.2916,restroom
1675,Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",,45.5484,-75.2916,restroom
1676,Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,40.5351,-74.208,restroom
1677,Blue Heron Park Preserve (Nature Center),Poillon Avenue,,40.5303,-74.1765,restroom
1678,Bowne Playground,Union Street and Sanford Avenue,,40.7594,-73.8187,restroom
1679,Brevoort Playground,Ralph Avenue & Chauncy Street,,40.6812,-73.9224,restroom
1680,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",,40.7678,-73.9815,restroom
1681,Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,,40.8543,-73.8694,restroom
1682,Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,,40.849,-73.8684,restroom
1683,Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,,40.874,-73.8834,restroom
1684,Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,,40.9477,-73.8345,restroom
1685,Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",,40.8419,-73.8735,restroom
1686,Bronx Park (River Park Playground),"East 180th Street, Boston Road",,40.8427,-73.8782,restroom
1687,Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,,40.9477,-73.8345,restroom
1688,Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,,40.849,-73.8684,restroom
1689,Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",,40.8722,-73.8718,restroom
1690,Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",,40.8918,-73.8523,restroom
1691,Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",,26.2411,50.5805,restroom
1692,Brownsville Playground,Linden Boulevard & Hegeman Avenue,,40.6573,-73.9003,restroom
1693,Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",,40.7162,-73.943,restroom
1694,Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,,40.7019,-73.937,restroom
1695,Cabbell Park/Cambria Playground,121 Avenue & 220 Street,,41.4985,-100.3099,restroom
1696,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,40.6962,-73.9911,restroom
1697,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",,40.6962,-73.9911,restroom
1698,Campiz Playground,Hope Street & Metropolitan Avenue,,40.7123,-73.8914,restroom
1699,Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",,40.6309,-73.8908,restroom
1700,Capt. Rivera Playground,"East 156 Street, Forest Avenue",,40.8185,-73.9078,restroom
1701,Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,,40.743,-73.8143,restroom
1702,Carl Schurz Park,East 84 Street & East End Avenue,,40.7736,-73.9457,restroom
1703,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",,40.829,-73.9448,restroom
1704,Carver Playground,Ralph Avenue & Sumpter Street,,40.6798,-73.9221,restroom
1705,Caserta Playground,"St. Raymond Avenue, Puroy Street",,40.8377,-73.8535,restroom
1706,Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,,40.7504,-73.7203,restroom
1707,Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",,40.886,-73.8279,restroom
1708,Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",,40.8549,-73.9168,restroom
1709,Central Park (Ancient Playground),85 ST & 5TH AVE,,40.7809,-73.9609,restroom
1710,Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,,40.7744,-73.9656,restroom
1711,Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",,40.7924,-73.9525,restroom
1712,Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,,40.8096,-73.9442,restroom
1713,Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,,40.7744,-73.9656,restroom
1714,Central Park (North Meadow Recreation Center),Mid-park at 97th Street,,37.4919,-86.2799,restroom
1715,Central Park (Ramble),Central Park,,40.7826,-73.9656,restroom
1716,Central Park (Tavern on The Green),Central Park,,40.7826,-73.9656,restroom
1717,Central Park (Tennis Courts),93d Street near the West Drive,,25.7502,55.9189,restroom
1718,Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,,40.7744,-73.9656,restroom
1719,Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",,40.7826,-73.9656,restroom
1720,Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),,40.7669,-73.9738,restroom
1721,Central Park Delacorte Comfort Station,Mid-Park at 80th Street,,37.4919,-86.2799,restroom
1722,Century Playground,Brighton Beach Avenue & West 2 Street,,40.5903,-73.9721,restroom
1723,Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,,11.5272,104.8784,restroom
1724,Chelsea Park,West 27 Street & 9 Avenue,,40.7446,-73.989,restroom
1725,Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",,40.7434,-73.9896,restroom
1726,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",,40.8328,-73.9051,restroom
1727,Chester Playground,"Chester Street, Sutter Avenue",,40.667,-73.911,restroom
1728,Ciccarone Park Playground,"Arthur Avenue, East 188 Street",,40.8564,-73.8868,restroom
1729,Claremont Park,Mount Eden Parkway & Morris Avenue,,40.8431,-73.9095,restroom
1730,Claremont Park Playground,E 170 Street & Teller Avenue,,40.8371,-73.9096,restroom
1731,Clark Playground,"3 Avenue, East 144 Street, East 146 Street",,40.8138,-73.9221,restroom
1732,Clement Clark Moore Park,Broadway & 83 Street,,40.7865,-73.9782,restroom
1733,Col. Charles Young Playground,West 144 Street & Lenox Avenue,,40.8197,-73.9367,restroom
1734,Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",,40.6094,-73.9677,restroom
1735,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",,40.9238,-73.7878,restroom
1736,Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",,40.693,-73.9942,restroom
1737,Com. John Barry Park & Playground,South of Flushing Avenue,,40.7021,-73.9363,restroom
1738,Com. John Barry Park & Playground,South of Flushing Avenue,,40.7021,-73.9363,restroom
1739,Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,,40.7021,-73.9363,restroom
1740,Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",,40.6206,-73.937,restroom
1741,Coney Island,Brighton 2nd,,40.5769,-73.9651,restroom
1742,Coney Island,W 33 St.,,40.7521,-73.9954,restroom
1743,Coney Island Beach,Corbin Place to Coney Island Avenue,,40.6136,-73.9631,restroom
1744,Coney Island Beach,Stillwell Avenue,,40.5908,-73.9841,restroom
1745,Coney Island Beach,West 16th Street,,41.4515,-81.6922,restroom
1746,Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",,38.3954,-75.413,restroom
1747,Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",,40.7294,-73.9066,restroom
1748,Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",,40.7527,-73.9947,restroom
1749,Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,,40.8355,-73.9013,restroom
1750,Crotona Park (Pool House),173rd Street and Fulton Avenue,,40.8407,-73.8983,restroom
1751,Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",,40.8365,-73.8934,restroom
1752,Crowley Playground,57 Avenue & 83 Street,,25.6943,-80.285,restroom
1753,Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",,40.7363,-73.7728,restroom
1754,Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",,40.7241,-73.7639,restroom
1755,Daniel M. O'Connell Playground,113 Avenue & 196 Street,,25.5846,-80.3746,restroom
1756,Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",,40.6733,-73.9039,restroom
1757,Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",,40.8604,-73.9115,restroom
1758,Digilio Playground,McDonald Avenue & Avenue F,,-23.9116,29.4929,restroom
1759,Ditmars Park Playground,23 Avenue to Ditmars Boulevard,,40.769,-73.8893,restroom
1760,Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",,40.7305,-74.0017,restroom
1761,Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",,40.7007,-73.8151,restroom
1762,Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,,40.6644,-73.9055,restroom
1763,Drew Playground,"Fulton Avenue, East 169 Street",,40.8322,-73.9034,restroom
1764,Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",,40.7253,-73.9762,restroom
1765,Dyckman House Museum,Broadway & West 204 Street,,40.867,-73.9231,restroom
1766,Dyker Beach Park,"Shore Parkway, 86 Street, 7 to 14 avenues",,40.6331,-73.8826,restroom
1767,East River Park (Tennis Courts),East River Park at Broome Street,,40.7189,-73.9744,restroom
1768,East River Park (Track Building),East 6 Street & FDR Drive,,40.7216,-73.9748,restroom
1769,East River Playground,"FDR Drive, East 106 to East 107 streets",,40.7888,-73.9378,restroom
1770,Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",,40.8694,-73.8528,restroom
1771,Edenwald Playground,"East 226 Drive, Schieffelin Avenue",,40.8835,-73.8453,restroom
1772,Ederle Comfort Station,Flushing Meadows Corona Park,,40.74,-73.8407,restroom
1773,Edmonds Playground,"DeKalb Avenue, Adelphi Street",,40.6895,-73.9711,restroom
1774,Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,,40.9637,-74.6291,restroom
1775,Farm Playground,"73 Avenue, 195 Street & 196 Place",,47.7701,-122.3019,restroom
1776,Fermi Playground,Troutman Street & Central Avenue,,40.705,-73.9245,restroom
1777,Fisher Pool,"32 Avenue, 99 Street",,45.6874,-73.8945,restroom
1778,Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,,40.7231,-73.8267,restroom
1779,Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,,40.7673,-73.8395,restroom
1780,Flushing Meadows Corona Park (Meadow Lake North),Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway,,40.7891,-73.135,restroom
1781,Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",,40.7464,-73.8451,restroom
1782,Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,,40.7408,-73.8501,restroom
1783,Hansborough Recreation Center,35 West 134 Street,,40.8129,-73.9394,restroom
1784,Flushing Meadows Corona Park (Worlds Fair Playground),"Grand Central Parkway, Van Wyck Expressway",,40.7186,-73.7957,restroom
1785,Flynn Playground,"3 Avenue, East 158 Street, Brook Avenue, East 157 Street",,40.8328,-73.9051,restroom
1786,Forest Park (Jackson Pond Playground),108 Street and Park Lane South,,40.7009,-73.8422,restroom
1787,"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,,51.5083,-0.1547,restroom
1788,Forest Park (Tennis Courts -Forest Parkway),Park Lane South to north of tennis courts,,40.7313,-74.032,restroom
1789,Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,,40.7859,-73.9509,restroom
1790,"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,,40.7006,-73.8545,restroom
1791,Fort Greene Park,South of Myrtle Avenue to Willoughby Avenue,,40.6946,-73.9432,restroom
1792,Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,,40.8655,-73.9273,restroom
1793,Fort Tryon Park (CafÃƒÂ©),One Margaret Corbin Drive,,40.8625,-73.9327,restroom
1794,Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",,40.8645,-73.9266,restroom
1795,Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",,40.8349,-73.9378,restroom
1796,Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,,40.8014,-73.8293,restroom
1797,Frank D. O'Connor Playground,Broadway & 78 Street,,40.7832,-73.9806,restroom
1798,Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",,40.8211,-73.9275,restroom
1799,Frederick E. Samuel Playground,"Lenox Avenue, West 139 to West 140 streets",,40.8096,-73.9442,restroom
1800,Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,,41.5773,-87.782,restroom
1801,Friends Field,"Avenue L, East 4 Street, McDonald Avenue, Avenue M",,40.6164,-73.9744,restroom
1802,Galapo Playground,"Bedford Avenue, Gravesend Neck Road",,40.5984,-73.9463,restroom
1803,General Douglas MacArthur Park,East 49 Street & East River Drive,,40.7525,-73.9649,restroom
1804,Glenwood Playground,Ralph Avenue & Farragut Road,,40.6375,-73.9192,restroom
1805,Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",,40.8328,-73.9051,restroom
1806,Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,,40.685,-73.9881,restroom
1807,Grandview Playground,"Grandview Avenue, Continental Place",,40.6306,-74.1652,restroom
1808,Gravesend Park,18 Avenue & 56 Street,,45.6566,-73.7678,restroom
1809,Grover Cleveland Park,"Rene Court, Grandview Avenue, Stanjope Street & Fairview Avenue",,-37.8081,145.3389,restroom
1810,Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",,40.7339,-73.7242,restroom
1811,Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",,40.8725,-73.84,restroom
1812,Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",,40.8725,-73.84,restroom
1813,Haggerty Park,202 Street & Jamaica Avenue,,40.7134,-73.7592,restroom
1814,Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",,40.7718,-73.9343,restroom
1815,Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,,29.6933,-95.4235,restroom
1816,Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",,40.7128,-74.006,restroom
1817,Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,,40.589,-73.81,restroom
1818,Happy Warrior Playground,West 98 Street & Amsterdam Avenue,,40.7954,-73.9694,restroom
1819,Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,,40.6645,-73.8509,restroom
1820,Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,,40.7234,-73.9763,restroom
1821,Harvey Park,"15 to 20 avenues, East of Whitestone Expressway",,40.792,-73.8096,restroom
1822,Havemeyer Playground,"Watson Avenue, Havenuemeyer Avenue, Cross Bronx Expressway",,40.828,-73.8636,restroom
1823,Heckscher Playground,Grove Street to Linden Street,,40.7218,-74.0447,restroom
1824,Henry Hudson Park,"Palisade Avenue, Kappock Street & Independence Avenue",,40.8828,-73.9203,restroom
1825,Herman Dolgon Playground,Avenue V & Nostrand Avenue,,40.5983,-73.9415,restroom
1826,High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,,40.5885,-74.1446,restroom
1827,High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,40.5885,-74.1446,restroom
1828,High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,40.5885,-74.1446,restroom
1829,High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,,40.5885,-74.1446,restroom
1830,Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,,40.8474,-73.9314,restroom
1831,Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",,40.8645,-73.9266,restroom
1832,Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,,40.8525,-73.9277,restroom
1833,Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,,40.8531,-73.9273,restroom
1834,Hoffman Park,Hoffman Drive west of Queens Boulevard,,40.7333,-73.8725,restroom
1835,Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",,40.8278,-73.9347,restroom
1836,Hollis Playground (JHS 192),205 Street & Hollis Avenue,,40.707,-73.7528,restroom
1837,Hoover Playground,Manton Street & 83 Avenue,,40.7125,-73.8211,restroom
1838,Horace Harding Playground (PS 206),62 Drive between 97 Place & 98 Street,,51.8929,-8.4834,restroom
1839,Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",,42.3565,-73.2849,restroom
1840,Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",,40.8159,-73.8871,restroom
1841,Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),,20.5937,78.9629,restroom
1842,Inwood Hill Park (Payson Playground),Payson & Dyckman streets,,40.8673,-73.9289,restroom
1843,Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,,40.8689,-73.9229,restroom
1844,J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",,40.8421,-73.9423,restroom
1845,Jackie Robinson Park,Malcolm X Boulevard between Chauncey and Marion streets,,40.8096,-73.9442,restroom
1846,Jackie Robinson Park,West 149 Street & Bradhurst Avenue,,40.8258,-73.9411,restroom
1847,Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,,40.8277,-73.9397,restroom
1848,Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",,40.8215,-73.9446,restroom
1849,Jackie Robinson Playground,"Sullivan Place & Franklin Avenue, Montgomery Street",,40.666,-73.9597,restroom
1850,Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",,40.8196,-73.9517,restroom
1851,Jesse Owens Playground,Stuyvesant & Lafayette avenues,,40.6919,-73.9338,restroom
1852,John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,,40.775,-73.9615,restroom
1853,John Paul Jones Park,"Shore Parkway, Fort Hamilton Parkway, 101 Street",,40.6112,-74.0325,restroom
1854,Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",,40.5062,-74.2349,restroom
1855,Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",,40.5062,-74.2349,restroom
1856,Joseph Austin Playground,Grand Central Parkway & 164 Place,,40.7165,-73.8019,restroom
1857,Joseph F. Mafera Park,65 Place & Catalpa Avenue & 68 Avenue,,40.7035,-73.8968,restroom
1858,Julio Carballo Field,"Lafayette Avenue, Manda Street",,40.6897,-73.9525,restroom
1859,Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,,35.2126,-80.8588,restroom
1860,Juniper Valley Park (North Playground Tennis),62nd Avenue & 80th Street,,40.7231,-73.8777,restroom
1861,K.L. Williams Playground (Tennis),"Liberty Avenue, 172-173 streets",,40.7046,-73.7854,restroom
1862,Kaiser Park,"South of Gravesend Bay, southeast of Path, northeast of Neptune Avenue",,40.5793,-73.982,restroom
1863,Katzman Playground,Yellowstone Boulevard between 68 Avenue & 68 Road,,40.7226,-73.8521,restroom
1864,Kennedy King Playground,East 93 Street & Lenox Road,,40.6575,-73.9214,restroom
1865,Kissena Corridor East (Underhill Playground),Peck Avenue & 188 Street,,40.7444,-73.7884,restroom
1866,Kissena Park,"Oak Avenue, 104th Street, & Kissena Lake Area",,40.7481,-73.8062,restroom
1867,Leif Ericson Park & Square,CLF behind CS adjacent to 5th Avenue to 7th Avenue(Highway) between 66th and 67th Street,,40.7744,-73.9656,restroom
1868,Liberty Pool,173rd Street and 106th Avenue,,40.8446,-73.9387,restroom
1869,Lincoln Terrace Park,Buffalo Avenue/Protal Street/New York Avenue,,40.6727,-73.9252,restroom
1870,Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue",,43.1566,-77.6088,restroom
1871,Linden Park,"Stanley Avenue, Linden Boulevard",,40.658,-73.8962,restroom
1872,Linden Park,104 Street & 41 Avenue,,25.1799,51.4525,restroom
1873,Loreto Park Playground,"Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue",,40.8486,-73.8512,restroom
1874,Loring Field,North Conduit & 149 Avenue,,40.6671,-73.8125,restroom
1875,Lost Battalion Hall,Queens Boulevard between 62 Avenue & 62 Road,,40.734,-73.873,restroom
1876,Lou Lodati Playground,Skillman Avenue & 43 Street,,40.7473,-73.9283,restroom
1877,Louis Pasteur Park,248 Street & 51 Avenue,,40.7621,-73.7361,restroom
1878,Lozada Playground,"East 135 Street, Willis Avenue, Alexander Avenue",,40.8072,-73.9243,restroom
1879,Magenta Playground,"Olinville Avenue, Rosewood Street",,40.8732,-73.8682,restroom
1880,Mahoney Playground,Beechwood & Cleveland avenues,,41.4422,-81.5905,restroom
1881,Mapes Pool,"East 180 Street, Mapes & Prospect avenues",,40.8419,-73.8735,restroom
1882,Marble Hill Playground,"Marble Hill Avenue, West 230 Street, West 228 Street",,40.8783,-73.908,restroom
1883,Marc's & Jason's Playground,Sterling Street & Empire Boulevard,,40.6632,-73.9509,restroom
1884,Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,,40.805,-73.9453,restroom
1885,Marine Park Nature Center,East 33rd Street and Avenue U,,40.6051,-73.9299,restroom
1886,Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",,29.8531,-95.2086,restroom
1887,Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",,40.8001,-73.951,restroom
1888,Martinez Playground,"Scholes Street, Graham Avenue",,40.7088,-73.9435,restroom
1889,Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",,40.8656,-73.8629,restroom
1890,Maurice A. Fitzgerald Playground,Atlantic Avenue & 106 Street,,40.6908,-73.8391,restroom
1891,Mazzei Playground,"Mace Avenue, Williamsbridge Road",,40.863,-73.8581,restroom
1892,McCaffrey Playground,"West 43 Street, 8 & 9 avenues",,19.1967,72.9883,restroom
1893,McCarren Park,12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue,,40.7178,-73.9575,restroom
1894,McDonald Playground,"Mcdonald Avenue, between avenues S & T",,40.6225,-73.9756,restroom
1895,McDonald Playground,"Forest Avenue, Myrtle Avenue between Broadway & Burgher",,40.7044,-73.9031,restroom
1896,McKinley Park,"Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue",,40.6509,-73.9729,restroom
1897,McKinley Playground,"Avenue A, East 3-East 4 streets",,40.7238,-73.985,restroom
